opcode,latitude_dd,longitude_dd,date_time,site,location,bait,depth_m,successful_count,maxn_by_size,behaviour_success,approach_success,observer_count,observer_length,forwards_habitat_image_saved,successful_habitat_forward,observer_habitat_forward,system,maxn_checker,comment
074,-34.10342833,122.3480133,11/06/2024 01:53,,mondrain,octopus,14,,,,,,,,,,6,,
077,-34.11375667,122.3447033,11/06/2024 02:01,,mondrain,octopus,25,,,,,,,,,,7,,
080,-34.12010333,122.2595917,11/06/2024 03:50,,mondrain,octopus,21,,,,,,,,,,7,,
083,-34.12993,122.2551833,11/06/2024 03:58,,mondrain,octopus,18,,,,,,,,,,6,,load right as left
086,-34.142535,122.25686,11/06/2024 05:19,,mondrain,octopus,20,No,No,No,No,,,No,,,6,,upside down & obscured
089,-34.15337,122.25021,11/06/2024 05:28,,mondrain,octopus,17,,,,,,,,,,7,,
092,-34.00092333,122.2793383,11/06/2024 22:47,,legrande,octopus,32,,,,,,,,,,7,,rubble & sand
095,-34.01253368,122.2413051,11/06/2024 23:05,,legrande,octopus,25,,,,,,,,,,6,,
098,-33.998735,122.222555,11/07/2024 00:25,,legrande,octopus,24,,,,,,,,,,6,,
101,-34.00949667,122.2121267,11/07/2024 00:33,,legrande,octopus,29,,,,,,,,,,7,,
104,-34.03049833,122.1551733,11/07/2024 02:08,,legrande,octopus,17,,,,,,,,,,7,,
107,-34.01085333,122.1355317,11/07/2024 02:30,,legrande,octopus,9,,,,,,,,,,6,,seagrass Showed 106 incorrectly. Is 107
003,-34.07862,123.1778433,11/03/2024 06:22,,middle,pilchard,29,Yes,Yes,,,,,Yes,Yes,,3,,right loaded as left - rewatch at end to check MaxNs
005,-34.099035,123.1644917,11/03/2024 06:51,,middle,pilchard,28,Yes,Yes,,,,,Yes,Yes,,2,,
008,-34.113365,123.15696,11/03/2024 07:15,,middle,pilchard,29,Yes,Yes,No,No,,,Yes,Yes,,6,,no BG
012,-34.116775,123.1973217,11/03/2024 23:11,,middle,pilchard,20,Yes,Yes,,,,,Yes,Yes,,4,,
015,-34.12232333,123.20819,11/03/2024 23:24,,middle,pilchard,18,No,No,No,No,,,No,No,,6,,facing down
018,-34.093255,123.2161283,11/04/2024 01:01,,middle,pilchard,14,Yes,Yes,,,,,Yes,Yes,,4,,
021,-34.01794333,123.1721133,11/04/2024 04:01,,arid,pilchard,11,,,,,,,Yes,Yes,,6,,loaded right as left- facing mostly upwards - do last
024,-34.01415833,123.1578033,11/04/2024 04:14,,arid,pilchard,10,Yes,Yes,,,,,Yes,Yes,,3,,right loaded as left
027,-34.00650333,123.1557283,11/04/2024 05:41,,arid,pilchard,16,Yes,Yes,No,No,,,Yes,Yes,,2,,no BG
030,-33.98273833,123.1325617,11/04/2024 06:05,,arid,pilchard,21,Yes,Yes,,,,,Yes,Yes,,5,,
033,-33.95464333,123.1220967,11/04/2024 07:39,,arid,pilchard,21,Yes,Yes,,,,,Yes,Yes,,4,,
036,-33.95002798,123.1465899,11/04/2024 07:53,,arid,pilchard,8,,,No,No,,,,Yes,,3,,No WBG - redo - emob disappeared
039,-33.97177,122.9291367,11/04/2024 23:25,,twin,pilchard,16,Yes,Yes,,,,,Yes,Yes,,2,,
042,-33.96357667,122.9097067,11/04/2024 23:44,,twin,pilchard,11,Yes,Yes,,,,,Yes,Yes,,5,,
045,-33.97519833,122.8968133,11/05/2024 01:05,,twin,pilchard,18,Yes,Yes,,,,,Yes,Yes,,4,,F looks smaller than other 2 measurements - maybe 0700-0899
048,-33.96134833,122.8999583,11/05/2024 01:17,,twin,pilchard,14,Yes,Yes,,,,,Yes,Yes,,3,,QAQC - mod/hard
051,-33.985955,122.8378233,11/05/2024 02:56,,twin,pilchard,14,Yes,Yes,,,,,Yes,Yes,,2,,
054,-34.00384167,122.81113,11/05/2024 03:13,,twin,pilchard,8,,,,,,,,,,5,,coral bombie - facing upwards - do last /maybe not at all
057,-33.990495,122.7188333,11/05/2024 05:06,,mart,pilchard,15,,,,,,,,,,4,,almost completed obscured by kelp - do last
060,-33.98879333,122.665065,11/05/2024 05:35,,mart,pilchard,17,Yes,Yes,,,,,Yes,Yes,,3,,
063,-33.99967,122.6564867,11/05/2024 06:51,,mart,pilchard,25,Yes,Yes,,,,,Yes,Yes,,2,,
066,-33.999925,122.63727,11/05/2024 07:09,,mart,pilchard,12,Yes,Yes,Yes,Yes,,,Yes,Yes,,5,,
069,-34.006235,122.577375,11/05/2024 22:59,,mart,pilchard,11,,,,,,,,,,4,,
072,-34.00261667,122.5895733,11/05/2024 23:11,,mart,pilchard,13,,,,,,,,,,3,,
075,-34.106735,122.3462333,11/06/2024 01:56,,mondrain,pilchard,26,,,,,,,,,,2,,
078,-34.11664667,122.346,11/06/2024 02:03,,mondrain,pilchard,22,,,,,,,,,,5,,
081,-34.12448333,122.2623217,11/06/2024 03:53,,mondrain,pilchard,10,,,,,,,,,,4,,
084,-34.13501667,122.2584117,11/06/2024 04:02,,mondrain,pilchard,19,,,,,,,,,,3,,"flips on side, mostly obscured - still try"
087,-34.146425,122.2555683,11/06/2024 05:21,,mondrain,pilchard,8,,,,,,,,,,2,,
090,-34.151855,122.25726,11/06/2024 05:31,,mondrain,pilchard,20,,,,,,,,,,5,,
093,-34.00519833,122.28127,11/06/2024 22:49,,legrande,pilchard,21,,,,,,,,,,4,,
096,-34.01403333,122.2359867,11/06/2024 23:09,,legrande,pilchard,25,,,,,,,,,,3,,
099,-34.00178667,122.2170983,11/07/2024 00:28,,legrande,pilchard,20,,,,,,,,,,2,,
102,-34.00594833,122.2075017,11/07/2024 00:37,,legrande,pilchard,24,,,,,,,,,,5,,
105,-34.027025,122.1484633,11/07/2024 02:12,,legrande,pilchard,5,,,,,,,,,,4,,
108,-34.01328333,122.1266333,11/07/2024 02:36,,legrande,pilchard,18,,,,,,,,,,3,,emob made
